idx,idx,prompt,p1_bid,p2_true_cost
0,0,"
                Your manufacturing division reports that current material costs are $31.088 for each unit produced.
                The finance department allocates factory overhead at 32.429% of material costs.
                Your recently negotiated supplier agreement includes a 4.544% progressive discount for each unit ordered.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $23.941 per unit, they add overhead at 40.760% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",51.48570904478428,39.29834637388584
1,1,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $212209.604 and variable cost of $5.224 per unit. 
                    They maintain a strict 28.007% operating margin policy.
                    
                Your manufacturing division reports that current material costs are $23.127 for each unit produced.
                The finance department allocates factory overhead at 26.567% of material costs.
                Your recently negotiated supplier agreement includes a 4.273% progressive discount for each unit ordered.
                ",36.73267060267098,28.019846734873123
2,2,"
                Your manufacturing division reports that current material costs are $25.998 for each unit produced.
                The finance department allocates factory overhead at 34.707% of material costs.
                Your recently negotiated supplier agreement includes a 2.929% progressive discount for each unit ordered.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $16.767 per unit, they add overhead at 43.018% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",36.636309175620674,33.995811014304756
3,3,"
                For your own product, your procurement team reports that raw materials cost $24.955 per unit. 
                Manufacturing overhead adds 35.015% to the base cost. 
                Your supplier offers a 4.260% discount per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $18.605 per unit, they add overhead at 49.117% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",42.3860854744483,32.2580451607276
4,4,"
                    Your supplier disclosed that P1's material costs represent 39.498% 
                    of their total manufacturing cost per unit. Their latest component order shows $7.510 
                    per unit in materials. Standard pricing policy sets final price at 2.125x total manufacturing cost.
                    
                Your manufacturing division reports that current material costs are $23.498 for each unit produced.
                The finance department allocates factory overhead at 27.500% of material costs.
                Your recently negotiated supplier agreement includes a 3.899% progressive discount for each unit ordered.
                ",40.40020501858213,28.792151811184667
5,5,"
                Your manufacturing division reports that current material costs are $30.818 for each unit produced.
                The finance department allocates factory overhead at 37.114% of material costs.
                Your recently negotiated supplier agreement includes a 4.660% progressive discount for each unit ordered.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $185495.470. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 34.598%.
                    ",44.67873777849922,40.28669752581367
6,6,"
                For your own product, your procurement team reports that raw materials cost $24.946 per unit. 
                Manufacturing overhead adds 23.374% to the base cost. 
                Your supplier offers a 2.199% discount per unit.
                
                    Your supplier disclosed that P1's material costs represent 40.356% 
                    of their total manufacturing cost per unit. Their latest component order shows $7.955 
                    per unit in materials. Standard pricing policy sets final price at 2.123x total manufacturing cost.
                    ",41.848504761781456,30.100226143922573
7,7,"
                    Your supplier disclosed that P1's material costs represent 38.285% 
                    of their total manufacturing cost per unit. Their latest component order shows $6.886 
                    per unit in materials. Standard pricing policy sets final price at 2.042x total manufacturing cost.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $26.983 per unit.
                Due to current factory utilization, overhead costs add 33.244% to production costs.
                The supplier offers a volume incentive of 3.152% per unit.
                ",36.728747320260645,34.81975955971682
8,8,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $25.569 per unit.
                Due to current factory utilization, overhead costs add 26.424% to production costs.
                The supplier offers a volume incentive of 4.596% per unit.
                
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $185003.849 and variable cost of $7.195 per unit. 
                    They maintain a strict 30.538% operating margin policy.
                    ",36.9923169018458,30.839152991933684
9,9,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $21.080 per unit, they add overhead at 44.501% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your manufacturing division reports that current material costs are $31.281 for each unit produced.
                The finance department allocates factory overhead at 33.124% of material costs.
                Your recently negotiated supplier agreement includes a 2.880% progressive discount for each unit ordered.
                ",46.53655781841533,40.44283309078472
